metric,observed_m2_minus_m1,bootstrap_median,ci_2_5,ci_97_5,requested_iterations,valid_iterations,skipped_iterations,bootstrap_unit,paired
roc_auc_difference,-0.0034023921120696077,-0.003234083062202908,-0.02040776161175055,0.013015312906483896,1000,1000,0,patient,YES
average_precision_difference,-0.00411401285258195,-0.006694600265019543,-0.051607871708653365,0.03081537532696846,1000,1000,0,patient,YES
sensitivity_difference,-0.07692307692307687,-0.07526881720430112,-0.1395465116279069,-0.02607037582903461,1000,1000,0,patient,YES
