model_id,model_name,input_representation,image_size,metadata_used,training_data_scope,imbalance_strategy,comparison_role,roc_auc,average_precision,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,primary_threshold,validation_n,validation_positive_n
H0,Logistic Regression (unweighted),64x64 grayscale flattened pixels,64,False,"5,000-image training subset",none,historical unweighted LR lower bound,0.6570220699252958,0.03859192498149585,0.980986871887732,0.5035054551183583,0.09090909090909091,0.008547008547008548,0.9984639016897081,0.015625,6500,10,116,1,0.5,6627,117
H1,Logistic Regression (balanced class weight),64x64 grayscale flattened pixels,64,False,"5,000-image training subset",balanced class weights,historical weighted LR comparison,0.6243924534247115,0.036315504860682926,0.9372264976610835,0.5483792193469613,0.05105105105105105,0.1452991452991453,0.9514592933947773,0.07555555555555556,6194,316,100,17,0.5,6627,117
B0,ResNet18,224x224 RGB images,224,False,"full 26,499-image training partition",training-derived weighted BCE,deep ResNet baseline,0.864275867501674,0.11927313065468292,0.7680700165987626,0.7812300602623183,0.05790784557907846,0.7948717948717948,0.7675883256528417,0.10795124782356355,4997,1513,24,93,0.5,6627,117
M1,ConvNeXt-Tiny image-only,224x224 RGB images,224,False,"full 26,499-image training partition",training-derived weighted BCE,controlled ConvNeXt image model,0.9008481363320072,0.16940561068661716,0.6337709370755998,0.8010043719721138,0.04491725768321513,0.9743589743589743,0.6276497695852534,0.08587570621468926,4086,2424,3,114,0.5,6627,117
M2,ConvNeXt-Tiny with metadata fusion,"224x224 RGB images + age, sex, anatomical site",224,True,"full 26,499-image training partition",training-derived weighted BCE,metadata-fusion ablation model,0.8974457442199376,0.16529159783403521,0.7387958352195564,0.8166902989483635,0.05756578947368421,0.8974358974358975,0.7359447004608295,0.10819165378670788,4791,1719,12,105,0.5,6627,117
