model_id,architecture,pretrained_weights,fine_tune_all,image_size,batch_size,num_workers,train_n,validation_n,train_benign,train_melanoma,validation_benign,validation_melanoma,augmentation_summary,normalization,loss,pos_weight,optimizer,learning_rate,weight_decay,scheduler,amp,max_epochs,patience,actual_epochs,best_epoch,checkpoint_metric,primary_threshold,seed,parameter_count,trainable_parameter_count,duration_seconds,mean_epoch_seconds,median_epoch_seconds
B0,resnet18,IMAGENET1K_V1,True,224,32,4,26499,6627,26032,467,6510,117,horizontal_flip=0.5; vertical_flip=0.5; rotation_degrees=15; brightness=0.1; contrast=0.1,"mean=[0.485, 0.456, 0.406]; std=[0.229, 0.224, 0.225]",weighted_bce,55.74304068522484,adamw,0.0001,0.0001,none,True,10,3,7,4,roc_auc,0.5,42,11177025,11177025,593.759864599997,83.26459717142696,68.53440599999158
M1,convnext_tiny,IMAGENET1K_V1,True,224,32,4,26499,6627,26032,467,6510,117,horizontal_flip=0.5; vertical_flip=0.5; rotation_degrees=15; brightness=0.1; contrast=0.1,"mean=[0.485, 0.456, 0.406]; std=[0.229, 0.224, 0.225]",weighted_bce,55.74304068522484,adamw,0.0001,0.0001,none,True,10,3,7,4,roc_auc,0.5,42,27820897,27820897,767.4979752000072,107.38645145714898,98.94740630002345
M2,convnext_tiny_metadata,IMAGENET1K_V1,True,224,32,4,26499,6627,26032,467,6510,117,horizontal_flip=0.5; vertical_flip=0.5; rotation_degrees=15; brightness=0.1; contrast=0.1,"mean=[0.485, 0.456, 0.406]; std=[0.229, 0.224, 0.225]",weighted_bce,55.74304068522484,adamw,0.0001,0.0001,none,True,10,3,10,8,roc_auc,0.5,42,27821313,27821313,1080.5029657999985,106.43215337999864,100.50020380000934
