threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,predicted_positive_count,predicted_negative_count,predicted_positive_rate
0.1,0.4843820733363513,0.7375576036866359,0.03310696095076401,1.0,0.4751152073732719,0.06409202958093672,3093,3417,0,117,3534,3093,0.533272974196469
0.2,0.5118454806096273,0.7515360983102919,0.034904534606205254,1.0,0.5030721966205837,0.06745459786682041,3275,3235,0,117,3352,3275,0.505809566923193
0.3,0.5438358231477289,0.7678187403993856,0.037261146496815285,1.0,0.5356374807987712,0.07184525637089346,3487,3023,0,117,3140,3487,0.4738192243850913
0.4,0.5812584880036216,0.782669660089015,0.04013840830449827,0.9914529914529915,0.5738863287250384,0.07715330894579316,3736,2774,1,116,2890,3737,0.436094763844877
0.5,0.6337709370755998,0.8010043719721138,0.04491725768321513,0.9743589743589743,0.6276497695852534,0.08587570621468926,4086,2424,3,114,2538,4089,0.3829787234042553
0.6,0.6994114984155727,0.8218244121469928,0.05293276108726753,0.9487179487179487,0.6949308755760368,0.1002710027100271,4524,1986,6,111,2097,4530,0.31643277501131734
0.7,0.7721442583371058,0.81268068848714,0.06277463904582549,0.8547008547008547,0.7706605222734255,0.11695906432748537,5017,1493,17,100,1593,5034,0.24038026256224537
0.8,0.8587596197374378,0.8106030170546299,0.08926780341023069,0.7606837606837606,0.8605222734254993,0.15978456014362658,5602,908,28,89,997,5630,0.15044514863437453
0.9,0.9506564056133997,0.6727224388514711,0.15,0.38461538461538464,0.9608294930875576,0.2158273381294964,6255,255,72,45,300,6327,0.04526935264825713
