threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,predicted_positive_count,predicted_negative_count,predicted_positive_rate
0.1,0.5527387958352196,0.7513667336247982,0.03647020514490394,0.9572649572649573,0.545468509984639,0.07026348808030113,3551,2959,5,112,3071,3556,0.4634072732759921
0.2,0.6013279010110155,0.7760979164204971,0.04074208803201164,0.9572649572649573,0.5949308755760369,0.07815771109560363,3873,2637,5,112,2749,3878,0.41481816810019617
0.3,0.6452391730798249,0.7858580487612745,0.04445350734094616,0.9316239316239316,0.6400921658986175,0.08485792137018296,4167,2343,8,109,2452,4175,0.3700015089784216
0.4,0.6908103214124038,0.804856433888692,0.05027932960893855,0.9230769230769231,0.6866359447004609,0.09536423841059603,4470,2040,9,108,2148,4479,0.32412856496152104
0.5,0.7387958352195564,0.8166902989483635,0.05756578947368421,0.8974358974358975,0.7359447004608295,0.10819165378670788,4791,1719,12,105,1824,4803,0.2752376641014033
0.6,0.7908555907650521,0.8264011973689394,0.06866077498300475,0.8632478632478633,0.7895545314900153,0.12720403022670027,5140,1370,16,101,1471,5156,0.2219707258186208
0.7,0.8497057492077863,0.8269782189137028,0.08809746954076851,0.8034188034188035,0.8505376344086022,0.15878378378378377,5537,973,23,94,1067,5560,0.16100799758563453
0.8,0.9061415421759469,0.7885560675883256,0.11800302571860817,0.6666666666666666,0.9104454685099846,0.20051413881748073,5927,583,39,78,661,5966,0.09974347366832655
0.9,0.9568432171419948,0.6339044468076727,0.14644351464435146,0.29914529914529914,0.9686635944700461,0.19662921348314608,6306,204,82,35,239,6388,0.03606458427644485
